,NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006
667,210053529711,2021,3,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,527.1,532.3,560.0,690.8,0,1.0,640.0,F,E,F,D,5.0,P
668,210054394471,2021,2,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,548.9,581.0,550.9,633.7,0,1.0,480.0,E,B,D,A,7.0,I
669,210052581688,2021,2,M,1,4,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3556453,Vargem Grande Paulista,35,SP,1,1,1,1,592.5,499.2,450.1,471.6,1,1.0,480.0,E,C,A,A,4.0,B
670,210052509302,2021,2,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,456.1,489.2,531.3,588.5,0,1.0,620.0,C,C,B,D,3.0,F
671,210053527067,2021,3,F,1,3,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,641.3,661.0,671.1,578.4,0,1.0,780.0,F,G,E,E,6.0,N
672,210052179769,2021,3,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,0,0,0,0,,,,,1,,,D,B,F,B,4.0,B
673,210053113110,2021,2,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,597.2,568.1,573.8,653.9,0,1.0,560.0,E,E,D,D,3.0,G
674,210054385132,2021,2,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,407.7,528.8,464.4,469.0,1,1.0,680.0,B,D,B,C,4.0,C
675,210054364212,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,540.8,457.8,546.3,659.7,0,1.0,640.0,F,E,D,D,3.0,I
676,210051427819,2021,2,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,627.4,579.8,486.7,646.0,1,1.0,520.0,F,F,D,E,2.0,G
677,210052934267,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,472.3,435.0,488.7,512.5,1,1.0,660.0,C,E,C,B,3.0,B
678,210051773947,2021,2,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,0,0,0,0,,,,,1,,,E,F,C,D,5.0,G
679,210054388405,2021,2,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,524.1,564.2,544.8,603.4,0,1.0,740.0,E,F,D,D,3.0,I
680,210054394166,2021,2,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,672.3,750.6,664.3,795.5,0,1.0,860.0,G,G,D,E,4.0,O
681,210053969543,2021,2,M,1,4,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3556453,Vargem Grande Paulista,35,SP,0,0,0,0,,,,,0,,,E,D,D,D,4.0,G
682,210053963799,2021,2,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,0,0,0,0,,,,,0,,,G,E,D,B,4.0,D
683,210051228695,2021,3,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3556453,Vargem Grande Paulista,35,SP,1,1,1,1,600.7,682.4,563.6,518.7,1,1.0,720.0,E,F,C,B,5.0,E
684,210052470999,2021,2,M,3,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,615.0,614.4,592.8,655.6,0,1.0,620.0,G,F,E,D,5.0,K
685,210051842511,2021,3,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,445.6,575.0,540.1,657.1,1,1.0,600.0,F,F,B,B,3.0,E
686,210051646456,2021,3,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,454.1,537.2,569.4,554.8,0,1.0,520.0,E,E,C,D,4.0,G
687,210053920431,2021,3,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,0,0,1,429.6,,,490.4,0,,,G,E,E,B,3.0,D
688,210053510985,2021,3,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,502.5,568.8,528.8,573.8,1,1.0,560.0,B,E,C,B,2.0,B
689,210051110005,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,0,0,0,0,,,,,1,,,H,H,E,F,3.0,L
690,210053520912,2021,2,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,385.7,476.1,481.3,395.7,0,1.0,600.0,H,C,C,B,4.0,B
691,210053949602,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,477.5,657.9,595.0,477.7,0,1.0,860.0,E,F,B,D,4.0,B
692,210053157199,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,477.9,522.6,493.2,645.0,0,1.0,600.0,E,D,D,D,5.0,H
693,210052749880,2021,3,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,556.2,609.7,564.0,706.4,0,1.0,800.0,E,E,C,B,5.0,F
